geo_value,time_value,viral_activity_level,viral_activity_level_num,viral_activity_level_cat,geo_res
Northern,2022-05-08,6.030144472006887,4.0,high,region
Northern,2022-05-15,5.812861138744025,4.0,high,region
Northern,2022-05-22,4.239428262179805,3.0,moderate,region
Northern,2022-05-29,5.769022663953894,4.0,high,region
Northern,2022-06-05,7.027100786662383,4.0,high,region
Northern,2022-06-12,5.812861138744025,4.0,high,region
Northern,2022-06-19,5.422890248812761,4.0,high,region
Northern,2022-06-26,4.393363409140761,3.0,moderate,region
Northern,2022-07-03,7.753353474749211,4.0,high,region
Northern,2022-07-10,5.29938693231676,4.0,high,region
Northern,2022-07-17,7.7755454531994115,4.0,high,region
Northern,2022-07-24,7.393805886213423,4.0,high,region
Northern,2022-07-31,6.528145955247303,4.0,high,region
Northern,2022-08-07,5.855857590342252,4.0,high,region
Northern,2022-08-14,6.869633030458385,4.0,high,region
Northern,2022-08-21,5.555866298181325,4.0,high,region
Northern,2022-08-28,4.775781406988,4.0,high,region
Northern,2022-09-04,6.775162432194472,4.0,high,region
Northern,2022-09-11,5.795264269918762,4.0,high,region
Northern,2022-09-18,2.766386794475202,2.0,low,region
Northern,2022-09-25,2.9631969901426496,2.0,low,region
Northern,2022-10-02,3.378691755794755,3.0,moderate,region
Northern,2022-10-09,2.9264892667311053,2.0,low,region
Northern,2022-10-16,3.518944297875628,3.0,moderate,region
Northern,2022-10-23,2.733894886979392,2.0,low,region
Northern,2022-10-30,4.272191591265573,3.0,moderate,region
Northern,2022-11-06,2.2745782229996356,2.0,low,region
Northern,2022-11-13,3.622476425454927,3.0,moderate,region
Northern,2022-11-20,5.898747894830888,4.0,high,region
Northern,2022-11-27,7.661463318729007,4.0,high,region
Northern,2022-12-04,6.276083287664017,4.0,high,region
Northern,2022-12-11,8.886377061067812,5.0,very high,region
Northern,2022-12-18,11.635546309593792,5.0,very high,region
Northern,2022-12-25,15.053982344390262,5.0,very high,region
Northern,2023-01-01,17.588846432341313,5.0,very high,region
Northern,2023-01-08,11.86807594516372,5.0,very high,region
Northern,2023-01-15,8.322715363001121,5.0,very high,region
Northern,2023-01-22,8.188051956534913,5.0,very high,region
Northern,2023-01-29,5.566099563255421,4.0,high,region
Northern,2023-02-05,5.841069812157876,4.0,high,region
Northern,2023-02-12,3.8072905113402364,3.0,moderate,region
Northern,2023-02-19,0.807829703767338,1.0,minimal,region
Northern,2023-02-26,0.551411036411804,1.0,minimal,region
Northern,2023-03-05,0.4356616814666504,1.0,minimal,region
Northern,2023-03-12,1.5329354378934994,2.0,low,region
Northern,2023-03-19,1.322005211641818,1.0,minimal,region
Northern,2023-03-26,0.8547599175091898,1.0,minimal,region
Northern,2023-04-02,0.7446611943777885,1.0,minimal,region
Northern,2023-04-09,0.9527995697822891,1.0,minimal,region
Northern,2023-04-16,0.4034720143748497,1.0,minimal,region
Northern,2023-04-23,0.5620253363706518,1.0,minimal,region
Northern,2023-04-30,0.5987649284206256,1.0,minimal,region
Northern,2023-05-07,0.5857332510133572,1.0,minimal,region
Northern,2023-05-14,0.4474134372872173,1.0,minimal,region
Northern,2023-05-21,0.3614318452194405,1.0,minimal,region
Northern,2023-05-28,0.33550906185392426,1.0,minimal,region
Northern,2023-06-04,0.5116804273210409,1.0,minimal,region
Northern,2023-06-11,0.3915343023257431,1.0,minimal,region
Northern,2023-06-18,0.31105953833977773,1.0,minimal,region
Northern,2023-06-25,0.30746167472155,1.0,minimal,region
Northern,2023-07-02,1.5582521210161158,2.0,low,region
Northern,2023-07-09,2.046183026376979,2.0,low,region
Northern,2023-07-16,1.092125815004925,1.0,minimal,region
Northern,2023-07-23,2.4594681068444784,2.0,low,region
Northern,2023-07-30,3.5191990335577787,3.0,moderate,region
Northern,2023-08-06,3.320717813918696,3.0,moderate,region
Northern,2023-08-13,3.875171310416018,3.0,moderate,region
Northern,2023-08-20,3.950413517457958,3.0,moderate,region
Northern,2023-08-27,1.1451708381895562,1.0,minimal,region
Northern,2023-09-03,1.6473331431546316,2.0,low,region
Northern,2023-09-10,1.5019355195482351,2.0,low,region
Northern,2023-09-17,2.0873629519132533,2.0,low,region
Northern,2023-09-24,1.5229336823777069,2.0,low,region
Northern,2023-10-01,1.3700454213693232,1.0,minimal,region
Northern,2023-10-08,1.3592018386350855,1.0,minimal,region
Northern,2023-10-15,1.4580673900072478,1.0,minimal,region
Northern,2023-10-22,1.526376239403112,2.0,low,region
Northern,2023-10-29,1.3844015525047173,1.0,minimal,region
Northern,2023-11-05,1.2354424540488658,1.0,minimal,region
Northern,2023-11-12,1.0851710245380193,1.0,minimal,region
Northern,2023-11-19,1.4613819116822906,1.0,minimal,region
Northern,2023-11-26,3.0760293332141,3.0,moderate,region
Northern,2023-12-03,2.5977319438895137,2.0,low,region
Northern,2023-12-10,2.672332255269611,2.0,low,region
Northern,2023-12-17,3.980004726213038,3.0,moderate,region
Northern,2023-12-24,5.977794923753802,4.0,high,region
Northern,2023-12-31,5.488348308281537,4.0,high,region
Northern,2024-01-07,21.972012580689174,5.0,very high,region
Northern,2024-01-14,31.934668790563187,5.0,very high,region
Northern,2024-01-21,9.542965272183528,5.0,very high,region
Northern,2024-01-28,21.08777448812364,5.0,very high,region
Northwest,2021-09-12,,,,region
Northwest,2021-09-19,,,,region
Northwest,2021-09-26,,,,region
Northwest,2021-10-03,,,,region
Northwest,2021-10-10,,,,region
Northwest,2021-10-17,,,,region
Northwest,2021-10-24,2.1326080314792155,2.0,low,region
Northwest,2021-10-31,1.4783447390365532,1.0,minimal,region
Northwest,2021-11-07,0.3630662761684162,1.0,minimal,region
Northwest,2021-11-14,7.005204780215039,4.0,high,region
Northwest,2021-11-21,4.518868906840773,4.0,high,region
Northwest,2021-11-28,14.265931500899104,5.0,very high,region
Northwest,2021-12-05,8.574340065086686,5.0,very high,region
Northwest,2021-12-12,17.056704754203075,5.0,very high,region
Northwest,2021-12-19,15.458902705091951,5.0,very high,region
Northwest,2021-12-26,11.54557110896048,5.0,very high,region
Northwest,2022-01-02,16.224760684997108,5.0,very high,region
